,precision,recall,f1-score,support
10,0.20512820512820512,0.4,0.27118644067796605,20.0
11,0.65,0.65,0.65,20.0
12,0.37037037037037035,0.6666666666666666,0.47619047619047616,15.0
13,0.8,0.36363636363636365,0.5000000000000001,22.0
14,1.0,0.375,0.5454545454545454,24.0
15,0.5555555555555556,0.6521739130434783,0.6,23.0
16,0.09375,0.17647058823529413,0.12244897959183672,17.0
17,0.14285714285714285,0.09090909090909091,0.1111111111111111,22.0
2,0.7083333333333334,0.7083333333333334,0.7083333333333334,24.0
3,0.7,0.2692307692307692,0.3888888888888889,26.0
4,0.4117647058823529,0.4666666666666667,0.43749999999999994,15.0
5,0.0,0.0,0.0,10.0
6,0.4444444444444444,0.4,0.4210526315789474,10.0
7,0.5454545454545454,0.2608695652173913,0.3529411764705882,23.0
8,0.13157894736842105,0.29411764705882354,0.1818181818181818,17.0
9,0.4,0.42105263157894735,0.41025641025641024,19.0
accuracy,0.3973941368078176,0.3973941368078176,0.3973941368078176,0.3973941368078176
macro avg,0.4474523281496482,0.38719545222355156,0.38607388596076786,307.0
weighted avg,0.4885202484109186,0.3973941368078176,0.40674637627471083,307.0
