# Multinomial Naive Bayes results
class	precision    recall  f1-score   support
2       0.85      0.50      0.63        22
3       0.21      0.38      0.27        13
4       0.83      0.24      0.37        21
5       0.00      0.00      0.00        12
6       1.00      0.27      0.42        15
7       0.30      0.53      0.38        15
8       0.11      0.05      0.07        21
9       0.19      0.14      0.16        22
10       0.24      0.38      0.29        21
11       0.46      0.63      0.53        19
12       0.79      0.46      0.58        24
13       0.33      0.15      0.21        20
14       0.50      0.14      0.22        21
15       0.67      0.91      0.77        22
16       0.50      0.04      0.08        24
17       0.07      0.40      0.12        15

#     accuracy                           0.33       307
#    macro avg       0.44      0.33      0.32       307
# weighted avg       0.46      0.33      0.33       307
