# Suport Vector Machine (linear kernel) results
precision    recall  f1-score   support
2       1.00      0.55      0.71        22
3       0.33      0.38      0.36        13
4       0.60      0.43      0.50        21
5       0.00      0.00      0.00        12
6       0.64      0.47      0.54        15
7       0.36      0.53      0.43        15
8       0.17      0.14      0.15        21
9       0.21      0.32      0.25        22
10      0.29      0.29      0.29        21
11      0.52      0.63      0.57        19
12      0.78      0.58      0.67        24
13      0.31      0.20      0.24        20
14      0.42      0.24      0.30        21
15      0.67      0.82      0.73        22
16      0.11      0.08      0.10        24
17      0.10      0.33      0.16        15

#     accuracy                           0.38       307
#    macro avg       0.41      0.37      0.37       307
# weighted avg       0.42      0.38      0.39       307
