Dnr,Formas1,Formas2,Kateg1,Kateg2,Kateg3
2016-00010,11,,,,
2016-00012,0,,,,
2016-00013,12,,,,
2016-00016,11,17,,,
2016-00017,9,,,,
2016-00018,11,,,,
2016-00020,12,,,,
2016-00026,15,,,,
2016-00028,13,,,,
2016-00029,11,,,,
2016-00031,12,,,,
2016-00036,9,12,,,
2016-00039,15,13,,,
2016-00042,13,6,,,
2016-00046,13,,,,
2016-00047,12,,,,
2016-00049,6,,,,
2016-00050,11,,,,
2016-00133,14,,,,
2016-00185,11,,,,
2016-00187,4,,,,
2016-00204,4,,,,
2016-00206,14,,,,
2016-00207,11,,,,
2016-00217,13,,,,
2016-00223,2,,,,
2016-00227,2,,,,
2016-00228,16,11,,,
2016-00246,2,,,,
2016-00253,2,,,,
2016-00258,11,,,,
2016-00264,11,,,,
2016-00272,2,1,,,
2016-00290,16,11,,,
2016-00308,3,2,,,
2016-00309,11,,,,
2016-00311,12,2,,,
2016-00314,3,2,,,
2016-00329,15,,,,
2016-00331,11,,,,
2016-00332,16,,,,
2016-00334,9,11,,,
2016-00340,11,,,,
2016-00344,11,,,,
2016-00345,11,,,,
2016-00349,11,,,,
2016-00350,11,2,,,
2016-00351,15,2,,,
2016-00352,11,,,,
2016-00353,2,,,,
2016-00361,2,15,,,
2016-00364,3,2,,,
2016-00365,2,,,,
2016-00371,7,11,,,
2016-00375,14,,,,
2016-00416,13,,,,
2016-00424,13,15,,,
2016-00433,12,,,,
2016-00451,8,,,,
2016-00453,15,,,,
2016-00455,14,,,,
2016-00457,6,3,,,
2016-00461,15,,,,
2016-00463,2,,,,
2016-00468,12,,,,
2016-00477,13,2,,,
2016-00481,2,,,,
2016-00484,12,,,,
2016-00486,13,15,,,
2016-00491,2,,,,
2016-00496,12,,,,
2016-00504,3,14,,,
2016-00508,11,12,,,
2016-00510,2,,,,
2016-00513,6,13,,,
2016-00535,15,13,,,
2016-00539,2,,,,
2016-00545,17,,,,
2016-00553,15,,,,
2016-00557,15,12,,,
2016-00559,7,12,,,
2016-00568,11,,,,
2016-00570,4,,,,
2016-00571,8,,,,
2016-00589,13,17,,,
2016-00591,3,,,,
2016-00594,14,,,,
2016-00604,12,,,,
2016-00606,2,15,,,
2016-00608,10,,,,
2016-00612,12,,,,
2016-00615,2,,,,
2016-00620,12,,,,
2016-00626,2,,,,
2016-00632,2,15,,,
2016-00634,3,,,,
2016-00640,3,,,,
2016-00642,3,6,,,
2016-00644,3,12,,,
2016-00645,2,,,,
2016-00646,9,2,,,
2016-00657,15,,,,
2016-00666,2,,,,
2016-00667,15,13,,,
2016-00679,2,,,,
2016-00681,6,,,,
2016-00683,12,13,,,
2016-00684,7,,,,
2016-00697,12,3,,,
2016-00700,12,,,,
2016-00701,15,,,,
2016-00702,13,,,,
2016-00703,2,,,,
2016-00705,15,,,,
2016-00706,13,,,,
2016-00717,15,,,,
2016-00723,2,,,,
2016-00729,14,13,,,
2016-00742,6,,,,
2016-00765,6,13,,,
2016-00767,12,,,,
2016-00768,3,,,,
2016-00777,2,,,,
2016-00780,15,13,,,
2016-00781,3,,,,
2016-00786,15,17,,,
2016-00790,6,12,,,
2016-00795,12,3,,,
2016-00798,15,,,,
2016-00804,14,,,,
2016-00807,15,,,,
2016-00808,12,,,,
2016-00817,15,,,,
2016-00823,2,,,,
2016-00824,3,7,,,
2016-00830,3,,,,
2016-00833,11,13,,,
2016-00834,9,13,,,
2016-00835,15,13,,,
2016-00837,15,,,,
2016-00838,7,,,,
2016-00846,6,,,,
2016-00857,7,15,,,
2016-00859,6,2,,,
2016-00861,6,13,,,
2016-00871,12,,,,
2016-00872,17,,,,
2016-00874,15,13,,,
2016-00875,14,,,,
2016-00883,17,15,,,
2016-00891,6,7,,,
2016-00892,13,,,,
2016-00895,14,,,,
2016-00896,15,13,,,
2016-00902,2,,,,
2016-00907,15,,,,
2016-00908,6,,,,
2016-00915,12,,,,
2016-00918,15,,,,
2016-00920,12,,,,
2016-00922,15,,,,
