Dnr,ProjektTitelSv,SammanfattningSv,Formas1,Formas2,Kateg1,Kateg2,Kateg3
2016-00010,Kunskapsproduktionen i arkitekturämnet genom avhandlingsprojekt i Norden,"Ansökan avser medel för planering och genomförande av en konferens om kunskapsproduktionen i arkitekturämnet via avhandlingsprojekt i Norden. Symposiet äger rum i Stockholm, 19-20 maj 2016, och organiseras av Nordisk Förening för Arkitekturforskning i samarbetet med arkitekturskolan vid KTH. Syftet är att presentera och diskutera samtida arkitekturforskning.Den primära målgruppen är doktorander i Sverige, Norge, Danmark och Finland som bedriver forskarstudier i inredning, arkitektur, stadsbyggnad, landskapsarkitektur, fysisk planering, arkitekturens teori och historia inklusive arkitektoniskt kulturarv. Förutom doktorander vänder sig konferensen till handledare, seniorforskare och forskningsledare ansvariga för forskarskolor vid universitet i Norden.  Målgruppen har informerats genom call for papers, som skickats ut i nordiska nätverk. Symposiet innehåller föreläsningar, paper presentationer i sessioner och round table diskussioner. Fem key note talare har anlitats; professor Halina Dunin-Woyseth och fyra nyligen disputerade arkitekter; Dr. Ann Legeby, Dr. Johan Linton, Dr. Marie Markman, PhD och Dr. Sari Tähtinen. Därmed får unga forskare möjlighet att presentera sina avhandlingsprojekt och reflektera över forskningens nytta och bidrag till kunskapsproduktionen i arkitekturämnet.En vetenskaplig kommitté har etablerats för granskning av papers. Kvalitetsgranskade texter kommer att publiceras och göras tillgängliga för målgruppen.",11,,NULL,(tom),(tom)
2016-00012,Odisciplinerade miljöer: Internationell konferens för det europeiska nätverket för politisk ekologi (ENTITLE),"Varför ""odisciplinerade miljöer""? Ska inte samhället försöka disciplinera miljön? Historiskt har det varit den huvudsakliga strategin för människors relation till naturen. I ännu högre grad har naturen tänkts genom discipliner, som var för sig har dolt lika mycket som de har synliggjort. Enligt flera forskare härstammar pågående miljökriser från en önskan inom den judisk-kristna traditionen att just kontrollera naturen. Trots en kontinuerlig uppmaning om tvärvetenskaplig forskning och utbildning är vår kunskap om naturen fortsatt djupt disciplinär. Det förhållningssättet är fundamentalt otillräckligt i relation till de utmaningar våra samhällen står inför. Miljöer är i grunden odisciplinerade; de anpassar sig inte efter människors önskningar och motsätter sig snäva disciplinära definitioner. Forskare kan också vara odisciplinerade när de utmanar konventionella metoder och experimenterar med nya sätt att forska och skapa och sprida kunskap. De senaste årtiondena har två nya forskningsfält vuxit fram som sträcker sig bortom traditionsenliga ämnesgränser; politisk ekologi (political ecology) och miljöns humaniora (environmental humanities). Konferensen ""Undisciplined Environments"" har utvecklats från ett möte mellan just dessa två post-disciplinära forskningsfält. Konferensen har till syfte att samla forskare, konstnärer, aktivister och andra verksamma runt tre olika teman: ""Political Ecology"" (indigenous rights, colonialism, and extractivism); ""Post-Capitalist Ecologies"" (social, economic, and ecological alternative to capitalism); samt ""Enclosures vs. Commoning"" (the struggles over commons). I enlighet med temat ""undisciplined"" har konferensen som mål att nå utanför den akademiska världen. För att nå en bred publik inkluderar konferensen flera olika sorters aktiviteter: akademiska sessioner, konstutställningar, en filmfestival, samt ett forum för aktivister. Konferensen markerar slutet av ett EU-finansierat utbildningsprogram (www.politicalecology.eu) men även början på nya forsknings- och utbildningsprojekt (flera workshops kommer utformas specifikt för att främja nya samarbeten).",0,,NULL,(tom),(tom)
2016-00013,TAPPI Advanced Coating Symposium,"TAPPI Advanced Coating Symposium anordnas vartannat år. Normalt alterneras plats för konferensen mellan Nordamerika och Europa. Nästa gång, 4-6 oktober 2016, anordnas konferensen i Stockholm. Arrangemanget kommer att organiseras som ett samarbete mellan Innventia, Sverige och TAPPI, USA. Konferensen behandlar vetenskaplig fundamenta för bestrykning av papper och kartong.Traditionellt har konferensen behandlat pigmentbestrykning och tryckbarhet. Skogsindustrin står dock idag för två stora utmaningar: omställningen från massproduktion till skräddarsydda förpackningslösningar och omställning till en biobaserad ekonomi. Forskningsfronten inom bestrykningsforskningen har på senare år ändrat inriktning till att svara på dessa utmaningar. Konferensens har därför även inkluderat forskning om biobaserade material för bestrykning, barriärbestrykning, bestrykning för digitalt tryck och behandling av papper och kartong för tryckt elektronik. Konferensen brukar locka mellan 70 och 120 deltagare och storleken på konferensen har visat sig lagom på så vis att de ledande forskarna inom området har deltagit samtidigt som konferensen har haft en avslappnad atmosfär. Grunden för nätverkande mellan olika forskargrupper och näringslivet har varit god och en stor del av framgången. Genom att konferensen arrangeras i Stockholm så kommer speciellt unga svenska forskare och studenter få en möjlighet att skapa nya kontakter och nätverk, något som kommer att vara till nytta i framtida ansökningar om forskningsmedel.Hög vetenskaplig nivå på konferensen kommer att säkras genom den vetenskapliga kommittén. Denna kommitté har en stark vetenskaplig förankring då den består av personer med lång erfarenhet av forskning. Kommittén har en blandning mellan erfarna och meriterade universitetsforskare och representanter från näringslivet med lång erfarenhet av både forskning och produktutveckling. Konferensen kommer att anordnas på Innventia med föredrag i Innoversum. En särskild postersession med mindre arbeten och förstudier kommer att presenteras i anslutning till Innventias pilotmiljö. Detta kommer att inspirera deltagarna till intressanta diskussioner och våra förhoppningar är att det ska leda till framtida internationella samarbeten.",12,,NULL,(tom),(tom)
2016-00016,De internationella tidsgeografiska dagarna 2016,"Med tidsgeografins teoretiska ansats och begrepp studeras villkoren för ett uthålligt samhälle, med tonvikt på social och ekologisk hållbarhet. Projektet syftar till att arrangera ”De internationella tidsgeografiska dagarna 2016” där forskare från olika delar av världen ges möjlighet att träffas och diskutera angelägna utvecklingar och idéer inom den tidsgeografiska ansatsen. Tillfälle ges för utbyte av idéer och erfarenheter mellan etablerade framstående forskare, yngre forskare och doktorander, som därmed kan inspirera varandra i den fortsatta utvecklingen av tidsgeografin. Konferensen inriktas på metodologisk, teoretisk och begreppsmässig utveckling inom följande teman: Samhällsplanering – bättre villkor för ett uthålligt urbant liv; Mobilitet, transporter och migration – sammankopplingsprocesser; Stöd för vardaglig hälsa och välbefinnande – betydelsen av individperspektiv; Människan i miljöutvecklingen – policy och agerande, och Nya teknologier – betydelse för social och ekologisk hållbarhet. De första ”Internationella tidsgeografiska dagarna”, som arrangerades 2014 samlade ca 50 deltagare från ett tiotal länder och var mycket givande. Deltagarna efterfrågade återkommande arrangemang för att vidareutveckla den tidsgeografiska ansatsen inom sina olika ämnen och tillämpningar. Dock menade flera deltagare att de missat flera intressanta presentationer på grund av konferensens parallella sessioner. Därför kommer 2016 års Internationella tidsgeografiska dagar att ha en innovativ design: koncentrerade och korta presentationer inom konferensens olika teman hålls i plenum och därefter väljer deltagarna vilka av de olika presentationerna som de vill diskutera djupare i smågruppsdiskussioner. På så sätt får alla deltagare både en överblick över utvecklingen av tidsgeografin som helhet och möjlighet till fördjupning inom det egna fältet. Konferensen ska resultera i en special issue av en internationell tidskrift.De internationella tidsgeografiska dagarna 2016 arrangeras vid Temainstitutionen, Linköpings universitet den 21-23 september. Planen är att 2018 års Internationella tidsgeografiska dagar ska arrangeras av Department of Human Geography, Peking University, Beijing, i Kina, vilket kommer att befästa den internationella och tvärvetenskapliga förankring som präglar den tidsgeografiska ansatsen. ",11,17,NULL,(tom),(tom)
2016-00017,Linnaeus ECO-TECH 2016,"Konferensens vetenskapliga syfte(n)/sammanfattningKonferensen Linnaeus ECO-TECH 2016 "" International Conference on  the Establishment of Cooperation between Companies and Institutions in the Nordic Countries, the Baltic Sea Region and the World "" har varit ett återkommande initiativ i Kalmar, anordnad vartannat år sedan 1997. Konferensen är 10:e konferensen i ordningen och 20 års-jubileum. Vi förväntar oss att Kronprinsessan Victoria kommer att tala vid öppning ceremoni den 21 november 2016, vilket är viktigt för kungahuset själv, deras anknytning till Kalmar-Öland regionen  och för allmänheten.Konferensen ger möjlighet till bättre samarbete mellan universitet och resterande samhälle samt ger forskare möjligheten att mötas och dela med sig av sin kunskap. Detta breda kunskapsforum är behövligt för att lösa de miljöproblem som världen och Östersjön måste bemöta. Konferensen vill också verka för att universitetet skall ha en fortsatt viktig roll i samhällets regionala utveckling, genom att samarbeta med industri/företag och resterande samhälle. Detta sker genom att främja forskning enligt Triple Helix-modellen för samverkan samt forskning och undervisning om modellens funktion i sig.Konferensen syftar till att utveckla och etablera samarbete mellan den akademiska sektorn, näringslivet och beslutsfattare för att stimulera och förbättra det tvärvetenskapliga samarbetet i Östersjöregionen men även i övriga världen. Det är viktigt för forskargruppen (ESEG) och Linnéuniversitetet att skapa dessa internationella vetenskapliga kontakter för att höja den vetenskapliga kvaliteten och förstärka nätverken för att i framtiden få möjlighet att skriva ansökningar och bedriva forskning i samarbete med de absolut bästa forskargruperna inom EU och i världen på området.För den här konferensen har teman valts som följer: behandlingsteknik för avloppsvatten, energiåtervinning av avfall, glas mining, landfill mining, utsläppet i hamnområden med anknytning till klimatförändringarna för Östersjöns avrinningsområde. Ur vetenskaplig synvinkel kommer fokus att ligga på cirkulär ekonomi och hållbara metoder för återvinning av metaller och näringsämnen, då i synnerhet de fina fraktionerna i avfall och sediment.  För regionen och Linnéuniversitetet är Linnaeus ECO-TECH konferensen en viktig händelse som sätter platsen och universitetet på kartan och möjliggör internationalisering av Smålandsregionen.",9,,NULL,(tom),(tom)
2016-00018,Att förstå Anglo-Amerikansk urbanteori ur ett franskt och svenskt perspektiv.,"År 2013 etablerade Institutionen för Urbana studier, Malmö högskola, ett samarbete med universiteten Paris-Est Marne-la-Vallée (UPEM) och University Paris-Est Créteil Val-de-Marne (UPEC) (som nu omvandlas till ett universitet). Initialt etablerades ett Erasmus-avtal med student- och lärarutbyte. I december 2015 bjöd forskargruppen JEDI (Justice, Space, Discriminations, Inequalities) in tio svenska forskare till Paris till en tvådagars workshop med tio forskare från UPEM och UPEC. Syftet med denna ansökan är att erbjuda en liknande tvådagars workshop i Malmö i juni 2016 och därmed kunna bjuda in en grupp på tio forskare från UPEC och UPEM till Malmö högskola. JEDI är en arbetsgrupp inom Futurs Urbains Labex som samlar forskare från flera forskningsenheter i Paris-Est University (Lab´Urba, ACP och LATTS). JEDI´s forskning behandlar frågor om ojämlikhet, diskriminering och stigmatisering, som drabbar olika kategorier av den urbana befolkningen. De svenska forskarna från Institutionen för Urbana studier bedriver forskning om bostadsbrist, bostadsojämlikhet och stadsförnyelse, från politiska, ekonomiska, sociala och ekologiska perspektiv. I fokus står frågor om social och ekonomisk hållbarhet och fysisk planering.Det kommunikativa värdet med konferensen är att främja fördjupade diskussioner som förväntas leda till ytterligare forskningsprojekt inom Europa och initiera ett långsiktigt samarbete mellan lärosätena (Mah och UPEC/UPEM), vilka är tvärvetenskapliga forskningsmiljöer som arbetar i nära samarbete med samhället kring samtida urbana utmaningar. Samarbetet utgör en del av att stärka forskningen kring bostadsfrågor som är högst samhällsrelevant i ljuset av den akuta bostadsbristen i Sverige och Europa. Baserad på empirisk forskning syftar workshoparna till att diskutera och definiera hur teori utanför ett anglo-amerikanskt sammanhang kan bidra till en djupare förståelse för urbana processer. Samtida urbanteori härrör till stor del från en anglo-amerikansk kontext och vi ämnar att ompröva angloamerikansk urbanteori i ljuset av svensk och fransk urbanforskning, särskilt kring frågor om neoliberalism, gentrifiering, bostadspolitik och marknader, planeringsteori och sociala rörelser.",11,,NULL,(tom),(tom)
2016-00020,Småskalig gruvdrift i Afrika,"Denna workshop vill engagera såväl yngre som mer etablerade forskare från olika länder för att diskutera de aktuella utmaningar som finns för småskalig gruvdrift i Afrika samt de förändringar som sektorn genomgår. Småskalig och hantverksmässig gruvdrift är långt ifrån ett nytt fenomen på den afrikanska kontinenten. Utvinning och utbyte av mineraler och bergarter har genom kontinentens historia varit centrala för framväxten av handelsplatser och regionala maktcentrum. I och med kolonisering och senare tillkomst av utländskt kapital, modern teknik och -arbetsorganisering blev existerande småskalig gruvdrift klassad som en del av den informella sektorn. Denna uppdelning mellan industriell och småskalig gruvdrift bestod efter avkoloniseringen och präglar fortfarande debatt och lagstiftning. Ökande internationella mineralpriser har lett till en ny boom inom afrikansk mineralutvinning sedan 1990-talet. Sedan dess har mycket av debatten handlat om tillväxten inom industriell gruvdrift, sektorns liberalisering och tillkomsten av nytt utländskt kapital. Även om småskalig gruvdrift är djupt rotat i lokala ekonomi och tradition kan småskalig gruvdrift påverkats mycket av dessa stora förändringsprocesser och kan inte längre sägas vara lokal. Småskalig gruvdrift relaterar till en global marknad genom relationer till den industriella gruvsektorn (ibland mycket konfliktfyllda) och sektorn påverkas också av regionala migrationsströmmar. De senaste två decennierna har intresset för forskning om småskalig gruvdrift konstant ökat bland samhällsvetare och miljövetare. De flesta studier har dock fokuserat på miljöpåverkan från gruvorna, dess roll inom lokal resurstillgång, organiseringen av arbetet, statusen som ”informell” sektor och kring olika försök att formalisera sektorn. Vi vill bygga på tidigare forskning men samtidigt öppna för nya forskningstema kopplat till den mest aktuella utvecklingen. Här kan särskilt nämnas en pågående uppdatering av lagar kring gruvdrift i flera länder och de konsekvenser detta kan medföra för småskalig gruvdrift, omvandlingen mot ett mer tekniskt arbete och mekaniseringen av småskalig utvinning samt ett växande engagemang från internationella institutioner som Världsbanken och FN när det handlar om att propagera för förändring inom mineralutvinning, mobiliseringen av NGOs och experiment kring nya certifieringssystem.",12,,NULL,(tom),(tom)
2016-00026,Jubileet 1916-2016: pollen analys och Lennart von Posts arv,"Den svenska geologen Lennart von Post (1884-1951) är fadern till modern Kvartär pollenanalys. Han uppfann ""pollendiagrammet"", det vill säga fick idén att uttrycka pollental från torvprofiler i procent och rita dessa procentsatser mot torvdjup. Han presenterade hans första pollendiagram vid den 16e ”Convention of Scandinavian Naturalists” i Kristiania (Oslo) 1916.Lennart von Post var en av många aktörer som utvecklade tvärvetenskaplig kvartärgeologi i Skandinavien i början av 20-talet. På den internationella scenen, Skandinavien var centret för Kvartär pollenanalys under största delen av 20-talet. Idag är Kvartär palynologi ett mycket brett forskningsfält i världen och används för att studera ett stort antal vetenskapliga frågor inom klimat- och miljöforskning. Den planerade tvådagarskonferens (24-25 november) kommer att föra samman 25 excellenta unga och seniora forskare från Sverige och 11 andra länder för att presentera och diskutera de senaste resultaten och kunskapen baserad på pollenanalys inom Kvartär miljö- och klimathistoria och dess bidrag till förståelsen av forntidens, nuvarande och framtidens miljöprocesser.Till exempel, pollen och andra lämningar från växter (liksom rester från djur) i sjösediment och torvavlagringar alltmer används för att testa hypoteser om ekologiska processer och, i synnerhet, förändringar i den biologiska mångfalden och dess orsaker. I Sverige är SLUs forskning i palynologi ledande i området. Pollen-baserad rekonstruktion av vegetation ytan på jorden för klimat modellering är ett annat område där Sverige är ledande idag (Linnéuniversitet). Målet med konferensen är att återuppliva disciplinen i Sverige och uppmuntra unga svenska forskare att utveckla nya, innovativa vägar för pollenanalysen i landet, dvs fortsätta på den framgångsrika väg som Lennart von Post började och andra framstående svenska geologer utvecklade vidare under 1900 och början på 2000-talet. Föreläsningarna kommer att publiceras i två ”Special Issues” av ""Vegetation History and Archaeobotany"" och ""Grana"". Konferensen och dess publikation har ambitionen att sätta Sverige i centrum för den internationella, moderna Kvartär palynologi. Konferensen kommer att anordnas vid Kungliga Vetenskapsakademien (KVA) av en kommitté av fyra forskare (varav 3 medlemmar i KVA) och KVAs kansliet. Planen stöds av KVAs ständige sekreteraren och KVAs Klassen V Geovetenskap.",15,,NULL,(tom),(tom)
2016-00028,"Hur och varför tas inte klimatvetenskapen på allvar? Internationell konferens om klimatskepticismens produktion, spridning och påverkan.","Denna mindre konferens med cirka 25 deltagare ska hållas på Vårdnäs kursgård utanför Linköping, i regi av Linköpings Universitet. Konferensen är planerad till 26 to 28 oktober 2016. Trots den överväldigande konsensus som finns inom klimatvetenskapen om att läget är akut gällande användning av kol, olja och gas vilka ger upphov till växthusgaser har det under de senaste 25 åren inte hänt mycket gällande politiska regelverk. Sedan 2009 ökar dessutom klimatskepticismen runt om i världen, inte minst i USA där den mest populäraste republikanska presidentkandidaten inför stundande val till och med är klimatskeptiker. Under denna konferens samlas de allra mest framstående forskarna som analyserat klimatskepticism för att dela erfarenheter från olika kontinenter och kulturer samt formulera en framåtriktad forskningsagenda inom detta område. ",13,,NULL,(tom),(tom)
2016-00029,"N-Aerus Conference 2016 - GOVERNING, PLANNING AND MANAGING THE CITY IN AN UNCERTAIN WORLD. COMPARATIVE PERSPECTIVES ON EVERYDAY PRACTICES","N-Aerus är ett mång- och interdisciplinärt nätverk av forskare och praktiker som arbetar med urbana frågor såväl i globala nord som globala syd. Nätverket bildades 1996 och N-Aerus 2016 är den 17 årliga N-Aerus-konferensen. N-Aerus konferenser har vanligen 60-100 deltagare från ett stort antal länder I Afrika, Asien, Europa och Sydamerika. År 2016 kommer konferensen att hållas på Förvaltningshögskolan (GU) i samarbete med Gothenburgs Research Institute (GRI), GU. I Organisationskommittén ingår docent Marie Thynell, Global Studies, GU, docent María José Zapata Campos, GRI, GU, och docent Patrik Zapata, forskare och viceprefekt på Förvaltningshögskolan, GU. Lokalkostnader star Förvaltningshögskolan för. I den här ansökan söker vi medel till internationella talare på konferensen. N-Aerus 2016 eftersträvar att samla forskare och praktiker intresserade i att undersöka den praktik som innefattar planering, governance och styrning av städer – från uppifrånochned processer ledda av stadsplanerare, politiker, utvecklare, konsulter till nedifrånochupp processer utförda av civilsamhällets organisationer, invånare, ungdomar och entreprenörer, frö att leda några. I den samtida kontext av politisk, finansiell, miljömässig, social och ekonomisk osäkerhet vi lever i, öppnar konferensen för diskussioner kring mobilitet, migration, segregation och integration i såväl globala syds och globala nords städer.",11,,NULL,(tom),(tom)
