Dnr,Agenda_2030
2017-02169,1
2018-04826,1
2019-04793,1
2019-04494,1
2020-03150,1
2018-02692,1
2018-03651,1
2018-04695,1
2018-04872,1
2018-00213,1
2018-00352,1
2018-00539,1
2018-00652,1
2018-01113,1
2018-01387,1
2018-01414,1
2018-01745,1
2018-01922,1
2018-02108,1
2018-02334,1
2018-02359,1
2018-02360,1
2018-02415,1
2018-02422,1
2018-03091,1
2018-03184,1
2018-03610,1
2018-03763,1
2018-03838,1
2018-04317,1
2018-04826,1
2019-02910,1
2019-04518,1
2019-04727,1
2019-05247,1
2018-04933,1
2019-00269,1
2019-00755,1
2019-01068,1
2019-01284,1
2019-01779,1
2019-02498,1
2019-02657,1
2019-02860,1
2019-03990,1
2019-05215,1
2019-05605,1
2019-05873,1
2020-00150,1
2020-00998,1
2020-01211,1
2020-02094,1
2020-02511,1
2020-03966,1
2016-02933,2
2017-02130,2
2017-00510,2
2017-02070,2
2017-03167,2
2017-04668,2
2017-04810,2
2018-01577,2
2018-04094,2
2018-01010,2
2018-01191,2
2018-01815,2
2018-02448,2
2018-02935,2
2018-03433,2
2018-03472,2
2018-03793,2
2018-04334,2
2018-04767,2
2019-02279,2
2019-03305,2
2019-03594,2
2019-04401,2
2019-05580,2
2018-05218,2
2019-00089,2
2019-00242,2
2019-00419,2
2019-00555,2
2019-00712,2
2019-02461,2
2019-02581,2
2019-03270,2
2019-03522,2
2019-03899,2
2019-03919,2
2019-03926,2
2019-05373,2
2019-05682,2
2019-05693,2
2019-05913,2
2020-00348,2
2020-00862,2
2020-01092,2
2020-02109,2
2018-01577,2
2018-01825,2
2018-03019,2
2018-00800,2
2019-04401,2
2019-04831,2
2019-00424,2
2019-02345,2
2019-02461,2
2020-03726,2
2020-03882,2
2018-00348,2
2018-01068,2
2018-01671,2
2018-02935,2
2018-03391,2
2018-03472,2
2019-02609,2
2018-05218,2
2019-00555,2
2019-02879,2
2019-03926,2
2019-04117,2
2020-01302,2
2016-03904,2
2016-02933,2
2016-05004,2
2017-01926,2
2017-05317,2
2017-00802,2
2017-01413,2
2017-01443,2
2017-01649,2
2017-02260,2
2017-02885,2
2017-03166,2
2017-03800,2
2018-00558,2
2018-00601,2
2018-01451,2
2018-01458,2
2018-01459,2
2018-01464,2
2018-01568,2
2018-01765,2
2018-01825,2
2018-02713,2
2018-02814,2
2018-04110,2
2018-04973,2
2018-00275,2
2018-00348,2
2018-00455,2
2018-00682,2
2018-00800,2
2018-00876,2
2018-00884,2
2018-01115,2
2018-01284,2
2018-01720,2
2018-01874,2
2018-02346,2
2018-02389,2
2018-02988,2
2018-03472,2
2018-03487,2
2018-03564,2
2018-03740,2
2019-02279,2
2019-02355,2
2019-02563,2
2019-02725,2
2019-03305,2
2019-03722,2
2019-04401,2
2019-04737,2
2019-05580,2
2019-05832,2
2018-05307,2
2019-00267,2
2019-00490,2
2019-00555,2
2019-00863,2
2019-00993,2
2019-01834,2
2019-02029,2
2019-02345,2
2019-02379,2
2019-02461,2
2019-02726,2
2019-02893,2
2019-03360,2
2019-03522,2
2019-03523,2
2019-03863,2
2019-03926,2
2019-03990,2
2019-04865,2
2019-05682,2
2019-05820,2
2019-05913,2
2020-00315,2
2020-00602,2
2020-01480,2
2020-01504,2
2020-02094,2
2020-03122,2
2020-03600,2
2020-03882,2
2020-00021,2
2017-02130,2
2017-03456,2
2018-00432,2
2018-01840,2
2018-01285,2
2018-02497,2
2018-03458,2
2018-04255,2
2019-02128,2
2019-04518,2
2020-01640,2
2020-01685,2
2016-03919,2
2016-05385,2
2017-00704,2
2017-01312,2
2017-02076,2
2017-02260,2
2017-03167,2
2017-03255,2
2017-03443,2
2017-03800,2
2017-04668,2
2017-04784,2
2017-04972,2
2018-01458,2
2018-02667,2
2018-02814,2
2018-03565,2
2018-04110,2
2018-04115,2
2018-00187,2
2018-00842,2
2018-01115,2
2018-01671,2
2018-02346,2
2018-02389,2
2018-03391,2
2018-04912,2
2019-02563,2
2019-03305,2
2019-04748,2
2019-05832,2
2019-00568,2
2019-02217,2
2019-02879,2
2019-03260,2
2019-03375,2
2019-03507,2
2019-03522,2
2019-03523,2
2019-03863,2
2019-04691,2
2019-04693,2
2019-04697,2
2019-04771,2
2019-04772,2
2019-04800,2
2019-04802,2
2019-05357,2
2020-01207,2
2020-02043,2
2020-02407,2
2016-04214,3
2016-04218,3
2016-04809,3
2016-04810,3
2016-04942,3
2016-05060,3
2017-02105,3
2017-02705,3
2017-03583,3
2017-05208,3
2017-01255,3
2017-01553,3
2017-01683,3
2017-02155,3
2017-02320,3
2017-02356,3
2017-02500,3
2017-03023,3
2017-03062,3
2017-03155,3
2017-04041,3
2017-04794,3
2017-05291,3
2017-05336,3
2017-05352,3
2017-05502,3
2018-00467,3
2018-00843,3
2018-02298,3
2018-02553,3
2018-03052,3
2018-03108,3
2018-03114,3
2018-03119,3
2018-03226,3
2018-03228,3
2018-03231,3
2018-03232,3
2018-03338,3
2018-03654,3
2018-03824,3
2018-04421,3
2018-04570,3
2018-04571,3
2018-04730,3
2017-05526,3
2017-05603,3
2018-00174,3
2018-00177,3
2018-00214,3
2018-00223,3
2018-00228,3
2018-00257,3
2018-00262,3
2018-00275,3
2018-00347,3
2018-00486,3
2018-00539,3
2018-00541,3
2018-00582,3
2018-00605,3
2018-00673,3
2018-00770,3
2018-00784,3
2018-00897,3
2018-00989,3
2018-01000,3
2018-01009,3
2018-01045,3
2018-01132,3
2018-01136,3
2018-01143,3
2018-01175,3
2018-01226,3
2018-01496,3
2018-01804,3
2018-01859,3
2018-02084,3
2018-02127,3
2018-02240,3
2018-02241,3
2018-02327,3
2018-02435,3
2018-02452,3
2018-02576,3
2018-02986,3
2018-03074,3
2018-03107,3
2018-03109,3
2018-03111,3
2018-03120,3
2018-03138,3
2018-03177,3
