Dnr,Agenda_2030,VinnovaAnpassatDelm
2016-04472,12 Hållbar konsumtion och produktion,"Öka utvecklingen, produktionen och användningen av material som bidrar till en hållbar utveckling"
2016-04984,12 Hållbar konsumtion och produktion,"Öka utvecklingen, produktionen och användningen av material som bidrar till en hållbar utveckling"
2016-05108,12 Hållbar konsumtion och produktion,"Öka utvecklingen, produktionen och användningen av material som bidrar till en hållbar utveckling"
2016-05120,12 Hållbar konsumtion och produktion,"Öka utvecklingen, produktionen och användningen av material som bidrar till en hållbar utveckling"
2017-03072,12 Hållbar konsumtion och produktion,"Öka utvecklingen, produktionen och användningen av material som bidrar till en hållbar utveckling"
2017-03265,12 Hållbar konsumtion och produktion,"Öka utvecklingen, produktionen och användningen av material som bidrar till en hållbar utveckling"
2017-03466,12 Hållbar konsumtion och produktion,"Öka utvecklingen, produktionen och användningen av material som bidrar till en hållbar utveckling"
2017-03524,12 Hållbar konsumtion och produktion,"Öka utvecklingen, produktionen och användningen av material som bidrar till en hållbar utveckling"
2017-03525,12 Hållbar konsumtion och produktion,"Öka utvecklingen, produktionen och användningen av material som bidrar till en hållbar utveckling"
2017-04870,12 Hållbar konsumtion och produktion,"Öka utvecklingen, produktionen och användningen av material som bidrar till en hållbar utveckling"
2017-05107,12 Hållbar konsumtion och produktion,"Öka utvecklingen, produktionen och användningen av material som bidrar till en hållbar utveckling"
2017-00560,12 Hållbar konsumtion och produktion,"Öka utvecklingen, produktionen och användningen av material som bidrar till en hållbar utveckling"
2017-01321,12 Hållbar konsumtion och produktion,"Öka utvecklingen, produktionen och användningen av material som bidrar till en hållbar utveckling"
2017-02155,12 Hållbar konsumtion och produktion,"Öka utvecklingen, produktionen och användningen av material som bidrar till en hållbar utveckling"
2017-02798,12 Hållbar konsumtion och produktion,"Öka utvecklingen, produktionen och användningen av material som bidrar till en hållbar utveckling"
2017-03160,12 Hållbar konsumtion och produktion,"Öka utvecklingen, produktionen och användningen av material som bidrar till en hållbar utveckling"
2017-03163,12 Hållbar konsumtion och produktion,"Öka utvecklingen, produktionen och användningen av material som bidrar till en hållbar utveckling"
2017-03164,12 Hållbar konsumtion och produktion,"Öka utvecklingen, produktionen och användningen av material som bidrar till en hållbar utveckling"
2017-03264,12 Hållbar konsumtion och produktion,"Öka utvecklingen, produktionen och användningen av material som bidrar till en hållbar utveckling"
2017-03267,12 Hållbar konsumtion och produktion,"Öka utvecklingen, produktionen och användningen av material som bidrar till en hållbar utveckling"
2017-03268,12 Hållbar konsumtion och produktion,"Öka utvecklingen, produktionen och användningen av material som bidrar till en hållbar utveckling"
2017-03269,12 Hållbar konsumtion och produktion,"Öka utvecklingen, produktionen och användningen av material som bidrar till en hållbar utveckling"
2017-03417,12 Hållbar konsumtion och produktion,"Öka utvecklingen, produktionen och användningen av material som bidrar till en hållbar utveckling"
2017-03457,12 Hållbar konsumtion och produktion,"Öka utvecklingen, produktionen och användningen av material som bidrar till en hållbar utveckling"
2017-03470,12 Hållbar konsumtion och produktion,"Öka utvecklingen, produktionen och användningen av material som bidrar till en hållbar utveckling"
2017-03488,12 Hållbar konsumtion och produktion,"Öka utvecklingen, produktionen och användningen av material som bidrar till en hållbar utveckling"
2017-03491,12 Hållbar konsumtion och produktion,"Öka utvecklingen, produktionen och användningen av material som bidrar till en hållbar utveckling"
2017-03550,12 Hållbar konsumtion och produktion,"Öka utvecklingen, produktionen och användningen av material som bidrar till en hållbar utveckling"
